name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Pune India ,2022-06-01,35.9,23,28.3,35.3,23,28.6,18.8,59.6,0.6,100,12.5,rain,0,0,32.8,24.1,280.8,1006.1,70.3,18.4,268.2,23.1,10,10,2022-06-01T05:57:29,2022-06-01T19:07:31,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43063099999,43111099999,remote,43060099999"
Pune India ,2022-06-02,35.1,23.9,27.7,35.2,23.9,28,19.2,62.5,0.3,100,8.33,rain,0,0,41,25.9,280.7,1006.6,75.9,18.4,164.3,14.1,9,10,2022-06-02T05:57:26,2022-06-02T19:07:53,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43063099999,43111099999,remote,43060099999"
Pune India ,2022-06-03,36,23.8,28.8,37.1,23.8,29,17.8,55.4,0,0,0,,0,0,31,26.3,281.6,1006,34.4,18.4,311.4,27.1,10,10,2022-06-03T05:57:23,2022-06-03T19:08:15,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
Pune India ,2022-06-04,36.2,22.5,29,38,22.5,29.5,18.2,55.8,0,0,0,,0,0,32,25.6,281.8,1005.6,51.3,18.4,303.2,26.2,10,10,2022-06-04T05:57:21,2022-06-04T19:08:36,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
Pune India ,2022-06-05,37.8,22.2,29.2,38.8,22.2,29.8,18.7,57.8,1.1,100,8.33,rain,0,0,25.2,24.8,277.9,1005.4,64.1,18,287.2,24.8,9,30,2022-06-05T05:57:21,2022-06-05T19:08:57,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43063099999,43111099999,remote,43060099999"
Pune India ,2022-06-06,34.3,24.7,28.4,34.7,24.7,28.5,18.2,56.5,1.1,100,20.83,rain,0,0,38.5,27,273.3,1006.2,83.2,18.4,244.9,21.2,9,10,2022-06-06T05:57:21,2022-06-06T19:09:18,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43063099999,43111099999,remote,43060099999"
Pune India ,2022-06-07,34.5,24.6,28.3,35.8,24.6,29.2,19.3,59.5,1.4,100,8.33,rain,0,0,28.1,29.5,279,1006.3,75.8,17.8,275.8,23.7,10,30,2022-06-07T05:57:22,2022-06-07T19:09:39,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43063099999,43111099999,remote,43060099999"
Pune India ,2022-06-08,35,23.8,28.4,38,23.8,29.6,20.2,62.6,5.6,100,12.5,rain,0,0,31.3,34.9,267.4,1006.2,54.4,16.6,277.4,23.9,10,30,2022-06-08T05:57:24,2022-06-08T19:09:59,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43063099999,43111099999,remote,43060099999"
Pune India ,2022-06-09,34.1,24.1,27.8,37.5,24.1,28.7,20.6,66.7,0.3,100,4.17,rain,0,0,28.1,25.6,250.7,1005.4,84.1,16.7,229.3,19.7,9,30,2022-06-09T05:57:28,2022-06-09T19:10:19,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43063099999,43111099999,remote,43060099999"
Pune India ,2022-06-10,35.1,23.9,27.2,36.8,23.9,28.1,21.1,71.1,26,100,4.17,rain,0,0,29.9,27.7,271.2,1005.2,53.1,18,241.1,21,9,30,2022-06-10T05:57:31,2022-06-10T19:10:38,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43063099999,43111099999,remote,43060099999"
Pune India ,2022-06-11,31.3,23.7,26.2,35,23.7,26.8,20.8,73.2,2,100,4.17,rain,0,0,30.2,28.4,256.2,1006.1,83.1,16.7,230.8,19.8,8,30,2022-06-11T05:57:36,2022-06-11T19:10:57,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43063099999,43111099999,remote,43060099999"
Pune India ,2022-06-12,31.8,23.3,26.1,33.1,23.3,26.6,19.9,69.5,0.8,100,16.67,rain,0,0,27.4,20.9,244.5,1006.2,89.6,16.8,191.8,16.7,7,10,2022-06-12T05:57:42,2022-06-12T19:11:16,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43063099999,43111099999,remote,43060099999"
Pune India ,2022-06-13,34.1,22.9,27.2,36.9,22.9,27.9,19.7,65,0.1,100,4.17,rain,0,0,28.8,25.2,250.5,1007.2,50.2,18.4,258.8,22.5,9,10,2022-06-13T05:57:48,2022-06-13T19:11:34,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43063099999,43111099999,remote,43060099999"
Pune India ,2022-06-14,33,23.6,27.4,34.5,23.6,28,19.4,63.5,0,0,0,,0,0,27.4,26.6,258.6,1007.3,43.2,18.4,303,26.2,10,10,2022-06-14T05:57:56,2022-06-14T19:11:51,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
Pune India ,2022-06-15,33.8,23.2,27.4,34.7,23.2,27.9,19.4,63.9,0.1,100,4.17,rain,0,0,28.8,25.2,268.4,1006.5,62.8,18.4,272.5,23.7,9,10,2022-06-15T05:58:04,2022-06-15T19:12:08,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43063099999,43111099999,remote,43060099999"
Pune India ,2022-06-16,32.8,23,27,34.7,23,27.6,19.9,66.4,0.3,100,12.5,rain,0,0,31.7,25.6,269.7,1006.3,70,18.2,243.3,21,9,10,2022-06-16T05:58:13,2022-06-16T19:12:25,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43063099999,43111099999,remote,43060099999"
Pune India ,2022-06-17,32,23.3,27.2,34.4,23.3,27.9,20,66.2,0.2,100,8.33,rain,0,0,32.8,22.7,265.5,1005.8,90.5,18.4,222.2,19.1,9,10,2022-06-17T05:58:22,2022-06-17T19:12:41,0.57,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"43063099999,43111099999,remote,43060099999"
Pune India ,2022-06-18,33,23.4,27.2,35.5,23.4,27.8,19.5,64.2,0,0,0,,0,0,31.3,24.8,265.3,1006,77.1,18.4,225.3,19.6,9,10,2022-06-18T05:58:33,2022-06-18T19:12:56,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
Pune India ,2022-06-19,31.5,23.6,26.9,33.2,23.6,27.6,20.1,67.5,0.1,100,4.17,rain,0,0,38.2,27.7,262.6,1006.7,70.7,18.4,238,20.5,9,30,2022-06-19T05:58:44,2022-06-19T19:13:11,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43063099999,43111099999,remote,43060099999"
Pune India ,2022-06-20,26.6,22.4,24.5,26.6,22.4,24.5,20.1,76.8,0.5,100,4.17,rain,0,0,36.4,27,263.1,1005.8,92.6,18.4,140.9,12.1,6,10,2022-06-20T05:58:56,2022-06-20T19:13:24,0.72,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"43063099999,43111099999,remote,43060099999"
Pune India ,2022-06-21,29.6,21.6,25.1,31.2,21.6,25.6,20,74.7,3.9,100,20.83,rain,0,0,31.7,27,258,1003.9,88.8,17.7,256.3,22.2,8,10,2022-06-21T05:59:08,2022-06-21T19:13:38,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43063099999,43111099999,remote,43060099999"
Pune India ,2022-06-22,29.3,22,25.3,32.2,22,26,20.8,76.9,47.7,100,41.67,rain,0,0,30.6,15.5,271.2,1004.4,83.7,11.2,224.8,19.6,8,10,2022-06-22T05:59:21,2022-06-22T19:13:50,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43063099999,43111099999,remote,43060099999"
Pune India ,2022-06-23,29.8,22.9,25.4,32.6,22.9,26,21.3,79,2.8,100,8.33,rain,0,0,18.7,13.3,274.7,1005.8,93.2,13,225.7,19.4,8,10,2022-06-23T05:59:35,2022-06-23T19:14:02,0.87,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"43063099999,43111099999,remote,43060099999"
