Date,Max_temp,Min_temp,Avg_temp
lat,18.47036,18.47036,18.47036
lon,73.83992,73.83992,73.83992
asl,679.400,679.400,679.400
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Maximum,Minimum,Mean
timestamp,Pune Temperature [2 m elevation corrected],Pune Temperature [2 m elevation corrected],Pune Temperature [2 m elevation corrected]
20220623T0000,30.1651,22.9551,26.160929
20220624T0000,29.4351,23.8551,26.200933
20220625T0000,27.9751,23.4151,25.188429
20220626T0000,27.0651,22.9251,24.598015
20220627T0000,26.7251,22.7351,24.3351
20220628T0000,26.2651,22.9951,24.338438
20220629T0000,27.3351,23.0451,24.995514
20220630T0000,26.615099,23.4951,24.9826
20220701T0000,27.2451,23.3351,24.899681
20220702T0000,28.1051,23.0751,24.998848
20220703T0000,28.1251,22.9751,24.621763
20220704T0000,26.5451,22.785099,24.413849
20220705T0000,26.5651,23.285099,24.691353
20220706T0000,26.1651,23.3251,24.457182
20220707T0000,25.6851,22.8551,24.050932
